ID,full_weight
30,5.598915221563948
5,3.9393327973513084
8,3.9262207077108813
34,3.6910011966205287
43,3.1867768905499316
25,3.100232913431943
21,2.9864593885904602
24,2.9821177104783136
23,2.6902597492938707
29,2.5228315458104555
33,2.3574753405737168
22,2.037765279713432
9,1.6599459302653905
20,1.6086020036183637
32,1.5754555623741897
27,1.5235742706522428
28,1.446119280276734
42,1.4317758898200281
41,1.281990390804833
3,1.2113128431918343
2,1.1993774220589901
19,1.1891015653387471
10,1.1891015653387471
12,1.1891015653387471
38,1.140704712560916
6,1.0868176735982655
1,0.9558084427676636
17,0.8470677228540392
35,0.7139424040000831
39,0.6771985205924175
15,0.5226662304908428
45,0.45099820876435415
44,0.37538637356256527
37,0.17452725878266562
26,0.030035421258549376
16,0.0
36,0.0
31,0.0
14,0.0
13,0.0
40,0.0
11,0.0
7,0.0
4,0.0
18,0.0
